id,nombre,apellido,email,direccion,telefono,localidad,fecha_nacimiento,fecha_ingreso,salario,perfil,nivel,anos_experiencia,ingles_avanzado,lider_equipo,teletrabajo,proyectos_completados,certificaciones,horas_capacitacion,Python_exp,Python_proyectos,Python_principal,Java_exp,Java_proyectos,Java_principal,JavaScript_exp,JavaScript_proyectos,JavaScript_principal,React_exp,React_proyectos,React_principal,Angular_exp,Angular_proyectos,Angular_principal,Vue_exp,Vue_proyectos,Vue_principal,Node.js_exp,Node.js_proyectos,Node.js_principal,MongoDB_exp,MongoDB_proyectos,MongoDB_principal,PostgreSQL_exp,PostgreSQL_proyectos,PostgreSQL_principal,MySQL_exp,MySQL_proyectos,MySQL_principal,Docker_exp,Docker_proyectos,Docker_principal,Kubernetes_exp,Kubernetes_proyectos,Kubernetes_principal,AWS_exp,AWS_proyectos,AWS_principal,Azure_exp,Azure_proyectos,Azure_principal,Git_exp,Git_proyectos,Git_principal,Jenkins_exp,Jenkins_proyectos,Jenkins_principal,TensorFlow_exp,TensorFlow_proyectos,TensorFlow_principal,PyTorch_exp,PyTorch_proyectos,PyTorch_principal,Pandas_exp,Pandas_proyectos,Pandas_principal,NumPy_exp,NumPy_proyectos,NumPy_principal,Flask_exp,Flask_proyectos,Flask_principal,Django_exp,Django_proyectos,Django_principal,Spring_exp,Spring_proyectos,Spring_principal,Hibernate_exp,Hibernate_proyectos,Hibernate_principal,TypeScript_exp,TypeScript_proyectos,TypeScript_principal,GraphQL_exp,GraphQL_proyectos,GraphQL_principal,Redis_exp,Redis_proyectos,Redis_principal,Kafka_exp,Kafka_proyectos,Kafka_principal,RabbitMQ_exp,RabbitMQ_proyectos,RabbitMQ_principal,Elasticsearch_exp,Elasticsearch_proyectos,Elasticsearch_principal,Linux_exp,Linux_proyectos,Linux_principal
1,María Carmen,Casas,maría carmen.casas@empresa.com,"Cuesta Ambrosio Cisneros 34, Cádiz, 02279",+34973899160,Pontevedra,1974-03-11,2020-12-03,106731.22,Backend,SR,5,True,True,True,11,4,39,0,0,False,0,0,False,7,2,True,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,2,7,True,9,20,True,0,0,False,0,0,False,9,7,False,0,0,False,4,15,False,0,0,False,0,0,False,0,0,False,0,0,False,1,6,False,0,0,False,0,0,False
2,Reyes,Cerro,reyes.cerro@empresa.com,"Vial Olivia Vilar 58 Apt. 70 , Pontevedra, 44256",+34822302187,Jaén,1970-11-16,2017-03-30,55837.65,Arquitecto,JR,2,False,True,False,30,10,176,0,0,False,9,10,False,10,7,True,1,8,False,0,0,False,0,0,False,0,0,False,0,0,False,2,8,True,0,0,False,0,0,False,0,0,False,7,9,False,0,0,False,6,6,False,0,0,False,0,0,False,6,7,False,0,0,False,2,20,True,0,0,False,0,0,False,0,0,False,9,8,True,0,0,False,8,13,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False
3,Jenaro,Llanos,jenaro.llanos@empresa.com,"Paseo Duilio Luís 484 Puerta 1 , Alicante, 15494",+34827 58 54 57,Segovia,1975-07-08,2016-09-10,96833.97,Arquitecto,JR,4,True,False,False,22,1,174,0,0,False,0,0,False,8,5,False,0,0,False,0,0,False,0,0,False,3,8,False,0,0,False,0,0,False,0,0,False,10,14,False,0,0,False,6,8,True,0,0,False,0,0,False,9,16,True,0,0,False,0,0,False,1,4,True,0,0,False,3,14,True,0,0,False,7,13,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,9,9,True,0,0,False
4,Isabel,Ricart,isabel.ricart@empresa.com,"Calle Yago Pomares 94 Puerta 6 , Tarragona, 31815",+34886 995 763,Álava,1963-06-10,2015-06-30,136174.61,Scrum Master,SR,6,True,False,False,8,9,20,3,17,True,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,5,17,True,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,3,12,True,0,0,False,9,17,True,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,10,11,False,1,4,False,0,0,False,0,0,False,0,0,False,5,8,True,0,0,False,0,0,False
5,Olga,Vilaplana,olga.vilaplana@empresa.com,"C. de Nicodemo Manjón 5 Puerta 0 , Almería, 39320",+34872 632 593,Sevilla,1972-03-19,2018-05-24,40278.41,DevOps,JR,13,True,True,False,14,7,186,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,8,17,False,2,8,True,0,0,False,2,11,True,10,18,True,0,0,False,10,8,True,2,2,True,2,2,False,0,0,False,0,0,False,2,17,True,5,16,True,0,0,False,9,5,False,0,0,False,0,0,False,4,16,False,0,0,False,4,4,True,0,0,False,0,0,False,7,12,False,0,0,False,0,0,False,0,0,False
6,Maxi,Elorza,maxi.elorza@empresa.com,"Acceso de Marcia Barros 6, Castellón, 21748",+34874781739,Pontevedra,2000-05-26,2020-12-02,36500.54,Frontend,JR,7,False,True,True,14,8,169,0,0,False,0,0,False,0,0,False,0,0,False,4,3,False,9,4,True,9,1,True,0,0,False,4,6,False,0,0,False,0,0,False,0,0,False,0,0,False,8,16,True,7,2,True,0,0,False,0,0,False,7,1,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,5,15,False,0,0,False,0,0,False
7,Baldomero,Bonilla,baldomero.bonilla@empresa.com,"Cuesta Maricela Abascal 946 Piso 5 , Santa Cruz de Tenerife, 26529",+34735 62 32 82,Huesca,1995-10-08,2020-07-30,116208.99,Fullstack,JR,5,True,True,True,3,8,54,0,0,False,3,3,True,4,13,True,0,0,False,0,0,False,10,8,True,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,10,3,False,10,19,False,0,0,False,5,7,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,4,9,False,3,10,False,0,0,False,0,0,False,6,3,True,8,20,True
8,Nidia,Planas,nidia.planas@empresa.com,"Alameda de Pía Colomer 41, La Coruña, 50484",+34 841222201,Melilla,1990-07-01,2019-12-20,90706.16,Fullstack,SSR,15,True,True,False,6,7,141,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,1,18,False,0,0,False,0,0,False,0,0,False,2,5,False,0,0,False,0,0,False,0,0,False,0,0,False,2,4,True,0,0,False,5,10,True,6,7,False,0,0,False,9,16,False,1,3,False,0,0,False,5,2,True,0,0,False,0,0,False,0,0,False,6,5,False,0,0,False,0,0,False,0,0,False,0,0,False
9,América,Blanes,américa.blanes@empresa.com,"Camino de Óscar Luz 32 Piso 6 , Vizcaya, 23673",+34976 15 03 44,Granada,1992-06-11,2020-07-06,114680.09,QA,JR,2,True,True,True,1,10,49,0,0,False,4,8,True,0,0,False,0,0,False,6,18,False,0,0,False,0,0,False,0,0,False,0,0,False,10,5,True,0,0,False,3,6,False,0,0,False,1,6,False,0,0,False,0,0,False,0,0,False,7,8,False,3,4,False,0,0,False,0,0,False,0,0,False,0,0,False,1,16,True,0,0,False,4,15,False,0,0,False,0,0,False,5,8,True,0,0,False,0,0,False
10,Isabel,Gallardo,isabel.gallardo@empresa.com,"Acceso de Jordi Gras 506 Piso 1 , La Rioja, 41696",+34 920 54 03 31,Zaragoza,1974-09-15,2016-04-01,77815.92,Scrum Master,JR,13,False,False,False,22,3,130,7,20,True,7,19,True,0,0,False,5,2,False,0,0,False,1,17,True,0,0,False,0,0,False,6,14,True,0,0,False,6,20,False,2,10,False,0,0,False,7,11,False,0,0,False,0,0,False,0,0,False,5,18,True,4,14,False,3,20,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,7,18,True,5,10,True,0,0,False,7,19,False,0,0,False,8,15,False
